,type,id,lat,lon
0,node,2135521848,5.2780207,-4.2392242
1,node,2135521852,5.2781832,-4.2382039
2,node,2135521853,5.278192,-4.2389929
3,node,5446611661,5.2893716,-4.1074032
4,node,5446611669,5.3088221,-4.1014147
5,node,7968989366,5.3087539,-4.1014159
6,node,5392417583,5.2918487,-4.0850131
7,node,2682541933,5.3003605,-4.0819749
8,node,5213164336,5.3078273,-4.0373287
9,node,5392417584,5.3071265,-4.0390173
10,node,5096419578,5.2918616,-4.0294934
11,node,5076847221,5.3106316,-4.0345976
12,node,5390465856,5.3106769,-4.0342154
13,node,5390871206,5.3106048,-4.0313817
14,node,5390871207,5.3105567,-4.0329426
15,node,5390871208,5.3106195,-4.0340088
16,node,5392870793,5.3104508,-4.034526
17,node,5392870794,5.309608,-4.0334823
18,node,5392870795,5.3096444,-4.0313553
19,node,5392870802,5.3105448,-4.0344816
20,node,5392870803,5.3098262,-4.0334458
21,node,5392870804,5.3098807,-4.0313005
22,node,5392870805,5.3107624,-4.0274025
23,node,5213164340,5.3109337,-4.02212
24,node,5392870796,5.3114214,-4.0234406
25,node,2608400470,5.310867,-4.0158986
26,node,7079693846,5.3110476,-4.015332
27,node,7079782679,5.3114727,-4.0151309
28,node,7079782680,5.3112137,-4.0151958
29,node,5390871205,5.3117248,-4.02634
30,node,3438394646,5.3140435,-4.0176322
31,node,5204765226,5.3138951,-4.0173698
32,node,5281898654,5.3131847,-4.0175843
33,node,5281898655,5.3132755,-4.017638
34,node,5281898656,5.313409,-4.0176863
35,node,5281898657,5.3135746,-4.017697
36,node,5281898658,5.3137135,-4.017638
37,node,5392870797,5.3118986,-4.0213774
38,node,5392870798,5.3125803,-4.0196521
39,node,5392870799,5.3127758,-4.0187301
40,node,5392870800,5.312644,-4.0182554
41,node,5392870801,5.3129757,-4.0190678
42,node,5392870806,5.3121122,-4.0214961
43,node,5392870807,5.3131893,-4.0186616
44,node,5392870808,5.3135484,-4.0180682
45,node,5392870809,5.3136984,-4.0178081
46,node,5392870810,5.3133284,-4.0185002
47,node,5204765227,5.3144345,-4.0159482
48,node,5204765228,5.3149794,-4.0147305
49,node,5204765229,5.3157432,-4.0131158
50,node,5204765230,5.3160102,-4.0123862
51,node,5204765231,5.3163895,-4.0112597
52,node,5213164346,5.3158257,-4.0148087
53,node,5390815200,5.3126078,-4.01649
54,node,5425049464,5.3147116,-4.0135976
55,node,5425049465,5.3149359,-4.0112372
56,node,5425049467,5.3138516,-4.0157165
57,node,5425049468,5.3137501,-4.016312
58,node,5425049469,5.313841,-4.0167143
59,node,5425049470,5.3138203,-4.0170264
60,node,5425049471,5.3139958,-4.0154966
61,node,5425049472,5.3136707,-4.0172195
62,node,5425049474,5.3141508,-4.0168766
63,node,7079782677,5.3135786,-4.0148479
64,node,7079782678,5.3127514,-4.0149503
65,node,8296717592,5.311881,-4.0151353
66,node,8296727380,5.3157883,-4.0146996
67,node,4852197024,5.3138833,-4.0101838
68,node,5204765233,5.3171479,-4.0091032
69,node,5204765236,5.317869,-4.0072739
70,node,5390861361,5.3156363,-4.0105354
71,node,5390861362,5.3159569,-4.0093928
72,node,5390861363,5.3162827,-4.0086311
73,node,5425049466,5.314311,-4.0101805
74,node,7044975091,5.3147116,-4.0105559
75,node,7079782673,5.3177782,-4.0061635
76,node,7079782674,5.317383,-4.0072686
77,node,7079782675,5.3162933,-4.0091944
