,type,id,lat,lon
139,node,7079782640,5.3187023,-3.9472783
140,node,7079782641,5.3183124,-3.9504486
141,node,7079782637,5.3195996,-3.9412218
142,node,7079782638,5.3191189,-3.94355
143,node,7079782634,5.3211539,-3.9341676
144,node,7079782635,5.3207266,-3.9361954
145,node,7079782636,5.3205023,-3.9371288
146,node,7079782632,5.3228311,-3.9277625
147,node,7079782633,5.3224359,-3.9302731
148,node,7079782631,5.3241451,-3.9235568
149,node,7079782627,5.3261755,-3.9210917
150,node,7079782629,5.3258596,-3.9210033
151,node,7079782630,5.3251919,-3.9211106
152,node,7166952559,5.2663697,-3.7819291
153,node,2489277836,5.2773637,-3.7833208
